"t" "Tt" "Vt" "dt" "Vdt"
29465 4.5 0.23678 20 -8.00000000000106e-06
29485 4.5 0.23692 20 7.00000000000006e-06
29505 4.5 0.23724 20 1.60000000000007e-05
29525 4.5 0.23745 20 1.04999999999994e-05
29545 4.5 0.23752 20 3.50000000000072e-06
29565 4.5 0.23738 20 -7.00000000000006e-06
29585 4.5 0.23724 20 -7.00000000000006e-06
29605 4.5 0.23714 20 -5.00000000000084e-06
29625 4.5 0.23696 20 -8.99999999999929e-06
29645 4.5 0.23706 20 4.99999999999945e-06
29665 4.5 0.23719 20 6.50000000000095e-06
29685 4.5 0.23718 20 -5.000000000005e-07
29705 4.5 0.23722 20 1.99999999999922e-06
29725 4.5 0.23716 20 -2.99999999999884e-06
29745 4.5 0.23709 20 -3.50000000000072e-06
29765 4.5 0.23703 20 -3.00000000000022e-06
29785 4.5 0.23699 20 -1.99999999999922e-06
29805 4.5 0.23703 20 1.99999999999922e-06
29825 4.5 0.23699 20 -1.99999999999922e-06
29845 4.5 0.23696 20 -1.50000000000011e-06
29865 4.5 0.23719 20 1.15000000000004e-05
29885 4.5 0.23747 20 1.39999999999987e-05
29905 4.5 0.23769 20 1.10000000000013e-05
29925 4.5 0.23767 20 -1.000000000001e-06
29945 4.5 0.2376 20 -3.49999999999934e-06
29965 4.5 0.23749 20 -5.49999999999995e-06
29985 4.5 0.23737 20 -6.00000000000045e-06
30005 4.5 0.23727 20 -4.99999999999945e-06
30025 4.5 0.23711 20 -8.00000000000106e-06
30045 4.5 0.2371 20 -4.99999999999112e-07
30065 4.5 0.23721 20 5.49999999999995e-06
30085 4.5 0.23727 20 3.00000000000022e-06
30105 4.5 0.23731 20 1.99999999999922e-06
30125 4.5 0.23723 20 -3.99999999999984e-06
30145 4.5 0.23723 20 0
30165 4.5 0.23723 20 0
30185 4.5 0.23715 20 -3.99999999999984e-06
30205 4.5 0.23713 20 -9.99999999999612e-07
30225 4.5 0.23698 20 -7.50000000000056e-06
30245 4.5 0.23674 20 -1.19999999999995e-05
30265 4.5 0.23668 20 -3.00000000000022e-06
30285 4.5 0.23683 20 7.50000000000056e-06
30305 4.5 0.23707 20 1.19999999999995e-05
30325 4.5 0.23727 20 1.00000000000003e-05
30345 4.5 0.23735 20 3.99999999999984e-06
30365 4.5 0.23723 20 -6.00000000000045e-06
30385 4.5 0.23714 20 -4.50000000000034e-06
30405 4.5 0.23717 20 1.50000000000011e-06
30425 4.5 0.2372 20 1.50000000000011e-06
30445 4.5 0.23717 20 -1.50000000000011e-06
30465 4.5 0.23723 20 3.00000000000022e-06
30485 4.5 0.23715 20 -3.99999999999984e-06
30505 4.5 0.23704 20 -5.49999999999995e-06
30525 4.5 0.23698 20 -3.00000000000022e-06
30545 4.5 0.23686 20 -6.00000000000045e-06
30565 4.5 0.2367 20 -7.99999999999967e-06
30585 4.5 0.23658 20 -5.99999999999906e-06
30605 4.5 0.23672 20 7.00000000000006e-06
30625 4.5 0.23685 20 6.49999999999956e-06
30645 4.5 0.23689 20 1.99999999999922e-06
30665 4.5 0.23713 20 1.20000000000009e-05
30685 4.5 0.23739 20 1.29999999999991e-05
30705 4.5 0.2375 20 5.49999999999995e-06
30725 4.5 0.23766 20 8.00000000000106e-06
30745 4.5 0.23759 20 -3.50000000000072e-06
30765 4.5 0.23749 20 -4.99999999999945e-06
30785 4.5 0.23739 20 -5.00000000000084e-06
30805 4.5 0.23734 20 -2.49999999999972e-06
30825 4.5 0.23734 20 0
30845 4.5 0.23724 20 -4.99999999999945e-06
30865 4.5 0.23719 20 -2.49999999999972e-06
30885 4.5 0.23698 20 -1.05000000000008e-05
30905 4.5 0.23695 20 -1.50000000000011e-06
30925 4.5 0.23713 20 9.00000000000067e-06
30945 4.5 0.23732 20 9.49999999999979e-06
30965 4.5 0.2377 20 1.89999999999996e-05
30985 4.5 0.23791 20 1.05000000000008e-05
31005 4.5 0.23771 20 -1.00000000000003e-05
31025 4.5 0.23753 20 -9.00000000000067e-06
