"t" "Tt" "Vt" "dt" "Vdt"
-87400 -11.202 7.6838 20 -0.000150000000000006
-87380 -11.17 7.6836 20 -9.99999999997669e-06
-87360 -11.139 7.6854 20 8.99999999999679e-05
-87340 -11.107 7.6857 20 1.50000000000094e-05
-87320 -11.076 7.6871 20 7.00000000000145e-05
-87300 -11.044 7.6893 20 0.00011000000000001
-87280 -10.891 7.6902 20 4.49999999999839e-05
-87260 -10.738 7.6921 20 9.50000000000006e-05
-87240 -10.586 7.6927 20 3.00000000000189e-05
-87220 -10.433 7.6944 20 8.49999999999795e-05
-87200 -10.28 7.6964 20 9.9999999999989e-05
-87180 -10.341 7.6969 20 2.50000000000306e-05
-87160 -10.401 7.6975 20 2.99999999999745e-05
-87140 -10.462 7.6975 20 0
-87120 -10.522 7.6977 20 1.00000000000211e-05
-87100 -10.583 7.6997 20 9.9999999999989e-05
-87080 -10.44 7.7016 20 9.50000000000006e-05
-87060 -10.297 7.7037 20 0.000105000000000022
-87040 -10.153 7.7072 20 0.000174999999999992
-87020 -10.01 7.7093 20 0.000104999999999977
-87000 -9.867 7.7096 20 1.50000000000094e-05
-86980 -9.927 7.7088 20 -3.99999999999956e-05
-86960 -9.987 7.7099 20 5.5000000000005e-05
-86940 -10.047 7.7112 20 6.49999999999817e-05
-86920 -10.107 7.7121 20 4.50000000000283e-05
-86900 -10.167 7.7127 20 2.99999999999745e-05
-86880 -10.082 7.7097 20 -0.000150000000000006
-86860 -9.9966 7.7088 20 -4.49999999999839e-05
-86840 -9.9114 7.7097 20 4.49999999999839e-05
-86820 -9.8262 7.7144 20 0.00023500000000003
-86800 -9.741 7.7186 20 0.000209999999999999
-86780 -9.8696 7.7224 20 0.000190000000000001
-86760 -9.9982 7.7243 20 9.50000000000006e-05
-86740 -10.127 7.7257 20 6.99999999999701e-05
-86720 -10.255 7.7262 20 2.50000000000306e-05
-86700 -10.384 7.7253 20 -4.50000000000283e-05
-86680 -9.9626 7.7263 20 5.00000000000167e-05
-86660 -9.5412 7.7275 20 5.99999999999934e-05
-86640 -9.1198 7.7275 20 0
-86620 -8.6984 7.7261 20 -7.00000000000145e-05
-86600 -8.277 7.7293 20 0.000160000000000027
-86580 -8.1578 7.734 20 0.000234999999999985
-86560 -8.0386 7.738 20 0.000200000000000022
-86540 -7.9194 7.7387 20 3.49999999999628e-05
-86520 -7.8002 7.7408 20 0.000105000000000022
-86500 -7.681 7.744 20 0.000159999999999982
-86480 -7.79 7.7466 20 0.000130000000000008
-86460 -7.899 7.7478 20 5.99999999999934e-05
-86440 -8.008 7.7469 20 -4.49999999999839e-05
-86420 -8.117 7.7461 20 -3.99999999999956e-05
-86400 -8.226 7.7481 20 9.9999999999989e-05
-86380 -7.9412 7.7518 20 0.000185000000000013
-86360 -7.6564 7.7566 20 0.000239999999999974
-86340 -7.3716 7.7622 20 0.000280000000000014
-86320 -7.0868 7.7674 20 0.000260000000000016
-86300 -6.802 7.7717 20 0.000214999999999987
-86280 -6.9344 7.7747 20 0.000150000000000006
-86260 -7.0668 7.7752 20 2.49999999999861e-05
-86240 -7.1992 7.776 20 3.99999999999956e-05
-86220 -7.3316 7.7772 20 5.99999999999934e-05
-86200 -7.464 7.778 20 3.99999999999956e-05
-86180 -7.2504 7.7798 20 9.00000000000123e-05
-86160 -7.0368 7.7811 20 6.50000000000262e-05
-86140 -6.8232 7.7831 20 9.9999999999989e-05
-86120 -6.6096 7.7858 20 0.000134999999999996
-86100 -6.396 7.7876 20 9.00000000000123e-05
-86080 -6.5108 7.7885 20 4.49999999999839e-05
-86060 -6.6256 7.7919 20 0.000170000000000003
-86040 -6.7404 7.7946 20 0.000134999999999996
-86020 -6.8552 7.7977 20 0.000154999999999994
-86000 -6.97 7.7976 20 -4.99999999998835e-06
-85980 -7 7.7978 20 9.99999999997669e-06
-85960 -7.03 7.7988 20 5.00000000000167e-05
-85940 -7.06 7.8018 20 0.000150000000000006
-85920 -7.09 7.8045 20 0.000134999999999996
-85900 -7.12 7.8073 20 0.000139999999999985
-85880 -7.1804 7.81 20 0.000134999999999996
-85860 -7.2408 7.8134 20 0.000170000000000003
-85840 -7.3012 7.8161 20 0.000134999999999996
-85820 -7.3616 7.8159 20 -9.99999999997669e-06
-85800 -7.422 7.8143 20 -7.99999999999912e-05
-85780 -7.4442 7.8149 20 2.99999999999745e-05
-85760 -7.4664 7.8171 20 0.00011000000000001
-85740 -7.4886 7.8181 20 5.00000000000167e-05
-85720 -7.5108 7.818 20 -5.00000000003276e-06
-85700 -7.533 7.819 20 5.00000000000167e-05
-85680 -7.3818 7.8203 20 6.49999999999817e-05
-85660 -7.2306 7.8216 20 6.50000000000262e-05
-85640 -7.0794 7.8212 20 -1.99999999999978e-05
-85620 -6.9282 7.822 20 3.99999999999956e-05
-85600 -6.777 7.8224 20 1.99999999999978e-05
-85580 -6.944 7.8253 20 0.000145000000000017
